DIC,TPN,HCO3,TN,Mg,Si,TP,TSSD,Na,TOC,UV280,TDS,Fe,SO4,CO3,UV250,specificConductance,TDP,NO3NO2,Cl,NH4,K,PH,NO2,OrthoP,Mn,TPC,DOC,F,ANC,TDN,Ca,Br,TSS
76.8,0.1,197.2,0,4.6,0.7,0,800,20.3,4,0.1,339.6,0,7.5,25.2,0.1,616.5,0,0,15.6,0.1,9.5,8.4,0,0,0,0.4,4,0,4.4,-0.1,64,0,16
71.9,0.1,213.3,0.2,17.7,0.6,0,0,17.5,3.4,0.1,289.4,0,6.9,0,0.1,595,0,0,10.7,0.1,8.5,8,0,0,0,0.4,3.2,1.3,3.9,0.2,33.2,0,0
75,0.1,355.7,0.4,19.6,0.6,0,0,19,3.8,0.1,435.1,0,7.4,0,0.1,623.2,0,0.1,4.8,0.1,9.7,7.9,0,0,0,0.3,4.2,0,6.2,0.3,69.3,0,0
75.2,0.1,361.2,0.2,18.9,0.6,0,0,18.2,3.4,0.1,425.4,0,0.4,0,0.1,605.2,0,0,3.3,0.1,9.1,8,0,0.1,0,0.4,3.3,0,6.2,0.2,68,0,0
67.8,0.1,294.1,0.2,16.3,20.6,0,0,21.8,4,0.1,397.4,0,6.8,0,0.1,569.3,0,0,17,0.1,8.3,8,0,0.1,0,0.3,4.2,1.9,5,0.2,61,0,0
63.5,0.1,281.1,0.1,14.7,18.2,0,500,19.9,3.7,0.1,379.3,0,6,0,0.1,544.8,0,0,10.1,0.1,7.4,7.9,0,0,0,0.3,3.6,1.3,4.7,0.1,56,0,10
66.6,0,287.6,0.2,14.7,17.6,0,0,19.8,3.6,0.1,385.7,0,5.4,0,0.2,549,0,2.5,1.7,0,7.2,7.8,0,0,0,0.3,3.6,2.7,4.8,0.2,54.6,0,0
67.5,0.1,346.1,0.2,16.6,20.6,0,0,22.5,4.1,0.1,398.7,0,5.6,0,0.1,567.8,0,0,7,0,8.9,7.7,0,0,0,0.4,4.1,0,6.2,0.1,67.9,0,0
69,0,345.6,0.2,17.4,19.8,0,0,23.3,4.3,0.1,410.8,0,7.7,0,0.2,580.4,0,0,5.8,0,8.8,7.5,0,0.1,0,0.3,4.3,0,5.9,0.2,66.4,0,0
70,0.1,335.7,1.4,16.7,19.6,0,300,19,9.5,0.1,407.2,0,4.2,0,0.1,581.3,0,0,3.2,0,8.2,8,0,0.1,0,0.3,10.3,0,5.6,1.6,65.7,0,6
71.4,0.1,335.6,1.1,16.6,20.1,0,300,18.7,8.9,0.1,404.2,0,3.8,0,0.1,576.4,0,0,3.2,0,7.8,8,0,0.1,0,0.3,8.7,0,6.2,1.1,65.8,0,6
69.3,0.1,345.3,0.4,16.5,20,0,0,19.2,3,0.1,402.9,0,4.7,0,0.2,573.2,0,0,8.5,0,9.1,8.1,0,0,0,0.3,3,0,6.2,0.4,65.3,0,0
73,0,301.2,0.5,17.2,20.4,0.1,100,23.1,5.3,0,359.2,0,3.8,0,0,516.2,0,0,12,0,8.7,8,0,0,0,0.4,5.5,0,5.3,0.5,68.1,0,2
73.8,0.2,295.5,0.5,16.8,20.1,0,0,22.2,6.3,0.2,358.4,0,3,0,0.2,512.9,0,0,5.5,0,8.8,8.1,0,0.9,0,0.3,6.3,0,4.9,0.5,57.9,0,0
71.9,0.1,315.7,0.6,16.8,19.3,0.1,0,19.8,6,0.1,353.3,0,2.9,0,0.2,503.9,0,0,4.8,0,8,8,0,0,0,0.3,6,0,5.4,0.5,65.9,0,0
73.1,0.1,29.9,0.4,1.1,12.9,0.1,100,0,6.5,0.2,357.8,0,5,0,0.3,508.8,0,0,2.5,0,1.1,7.9,0,0,0,0.3,6.1,0.4,0.5,0.3,9.5,0,2
