agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
5s,15s,5s,11n,3n,3n,6n,6n,8n,5n,12s,5n,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s
USGS,9510200,60,5732,3,4,2016,2020,5,2019,185,2018,0,66,,,0.32,0.81,47,141,167,,
USGS,9510200,60,5732,3,5,2016,2020,5,2019,118,2018,0,48,,,0.31,0.78,43,97,110,,
USGS,9510200,60,5732,3,6,2016,2020,5,2019,86.6,2018,0,38,,,0.32,0.79,38,75,82,,
USGS,9510200,60,5732,3,7,2016,2020,5,2019,69.5,2018,0,31,,,0.31,0.78,31,62,67,,
USGS,9510200,60,5732,3,8,2016,2020,5,2019,61,2018,0,28,,,0.31,0.77,29,55,58,,
USGS,9510200,60,5732,3,9,2016,2020,5,2019,59.6,2018,0,27,,,0.27,0.69,30,51,56,,
USGS,9510200,60,5732,3,10,2016,2020,5,2019,50.5,2018,0,23,,,0.26,0.65,28,44,48,,
USGS,9510200,60,5732,3,11,2016,2020,5,2020,230,2018,0,62,,,0.26,0.64,34,138,193,,
USGS,9510200,60,5732,3,12,2016,2020,5,2020,367,2018,0,95,,,0.25,0.63,31,221,308,,
USGS,9510200,60,5732,3,13,2016,2020,5,2019,800,2018,0,317,,,0.26,0.65,28,777,791,,
USGS,9510200,60,5732,3,14,2016,2020,5,2020,477,2018,0,180,,,0.26,0.65,26,438,461,,
USGS,9510200,60,5732,3,15,2016,2020,5,2020,264,2018,0,96,,,0.25,0.63,23,228,250,,
USGS,9510200,60,5732,3,16,2016,2020,5,2020,181,2018,0,67,,,0.23,0.58,22,157,171,,
USGS,9510200,60,5732,3,17,2016,2020,5,2020,146,2018,0,55,,,0.22,0.55,21,127,138,,
USGS,9510200,60,5732,3,18,2016,2020,5,2020,202,2018,0,62,,,0.2,0.49,19,144,179,,
USGS,9510200,60,5732,3,19,2016,2020,5,2020,542,2018,0,126,,,0.18,0.44,17,307,448,,
USGS,9510200,60,5732,3,20,2016,2020,5,2020,269,2018,0,70,,,0.16,0.41,16,166,228,,
USGS,9510200,60,5732,3,21,2016,2020,5,2020,190,2018,0,52,,,0.16,0.39,14,123,163,,
USGS,9510200,60,5732,3,22,2016,2020,5,2020,153,2018,0,44,,,0.16,0.4,13,102,133,,
USGS,9510200,60,5732,3,23,2016,2020,5,2020,130,2018,0,38,,,0.16,0.4,13,88,113,,
USGS,9510200,60,5732,3,24,2016,2020,5,2020,110,2018,0,33,,,0.15,0.39,14,75,96,,
USGS,9510200,60,5732,3,25,2016,2020,5,2020,96.7,2018,0,29,,,0.16,0.4,12,66,85,,
USGS,9510200,60,5732,3,26,2016,2020,5,2020,87.4,2018,0,26,,,0.14,0.35,10,60,76,,
USGS,9510200,60,5732,3,27,2016,2020,5,2020,75.4,2018,0,23,,,0.12,0.3,9.3,53,66,,
USGS,9510200,60,5732,3,28,2016,2020,5,2020,66.1,2018,0,21,,,0.12,0.3,8.5,47,58,,
USGS,9510200,60,5732,3,29,2016,2020,5,2020,59.8,2018,0,19,,,0.14,0.36,7.6,43,53,,
USGS,9510200,60,5732,3,30,2016,2020,5,2020,53.2,2018,0,17,,,0.14,0.36,6.6,38,47,,
USGS,9510200,60,5732,3,31,2016,2020,5,2020,50,2018,0,16,,,0.13,0.33,5.8,37,45,,
USGS,9510200,60,5732,4,1,2016,2020,5,2020,47.8,2018,0,15,,,0.1,0.26,5.4,35,43,,
USGS,9510200,60,5732,4,2,2016,2020,5,2020,44.3,2018,0,14,,,0.08,0.2,5.5,33,40,,
USGS,9510200,60,5732,4,3,2016,2020,5,2020,41.5,2018,0,14,,,0.08,0.19,5.8,31,37,,
USGS,9510200,60,5732,4,4,2016,2020,5,2020,39.5,2018,0,13,,,0.06,0.15,5.4,29,35,,
USGS,9510200,60,5732,4,5,2016,2020,5,2020,36.2,2018,0,12,,,0.04,0.11,5,27,33,,
USGS,9510200,60,5732,4,6,2016,2020,5,2020,34,2018,0,11,,,0.02,0.05,4.6,25,31,,
USGS,9510200,60,5732,4,7,2016,2020,5,2020,31.3,2018,0,10,,,0.01,0.03,4.3,23,28,,
USGS,9510200,60,5732,4,8,2016,2020,5,2020,31.1,2018,0,9.9,,,0.06,0.15,4,23,28,,
USGS,9510200,60,5732,4,9,2016,2020,5,2020,29.7,2018,0,9.4,,,0.08,0.2,3.8,21,26,,
USGS,9510200,60,5732,4,10,2016,2020,5,2020,27.4,2018,0,8.7,,,0.13,0.32,3.5,20,24,,
USGS,9510200,60,5732,4,11,2016,2020,5,2020,25.8,2018,0,8.3,,,0.21,0.54,3.4,19,23,,
USGS,9510200,60,5732,4,12,2016,2020,5,2020,26.1,2018,0,8.2,,,0.1,0.26,3.1,19,23,,
USGS,9510200,60,5732,4,13,2016,2020,5,2020,24.7,2018,0,7.7,,,0.06,0.14,2.8,18,22,,
USGS,9510200,60,5732,4,14,2016,2020,5,2020,24.6,2018,0,7.5,,,0.03,0.09,2.6,17,22,,
USGS,9510200,60,5732,4,15,2016,2020,5,2020,22.5,2018,0,6.9,,,0.02,0.04,2.3,16,20,,
